AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,AM
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-3041,Gambling Cage Workers,detailed,220,13.9,"48,050",14.3,"32,940","32,940",48.05
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-3051,Payroll and Timekeeping Clerks,detailed,"9,070",5.4,"61,970",1.1,"40,210","49,240",61.97
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-3061,Procurement Clerks,detailed,"4,680",5.9,"52,480",1.5,"35,660","44,710",52.48
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-3071,Tellers,detailed,"18,600",6,"41,890",1.3,"35,150","37,010",41.89
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-3099,"Financial Clerks, All Other",detailed,"3,140",15.2,"54,570",2.1,"27,040","40,930",54.57
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4011,Brokerage Clerks,detailed,"7,060",9.9,"77,270",1.3,"50,640","61,040",77.27
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4021,Correspondence Clerks,detailed,310,12.5,"47,670",2.3,"36,520","39,690",47.67
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4031,"Court, Municipal, and License Clerks",detailed,"10,010",1.1,"62,400",0.4,"38,440","47,270",62.4
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,860,4.7,"54,670",0.7,"37,460","46,340",54.67
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4051,Customer Service Representatives,detailed,"133,110",1.6,"49,400",0.6,"31,770","37,040",49.4
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4061,"Eligibility Interviewers, Government Programs",detailed,"8,170",0.8,"61,170",0.4,"46,780","51,420",61.17
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4071,File Clerks,detailed,"7,610",7.9,"40,770",2.6,"29,260","31,200",40.77
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,"7,210",5.7,"43,690",3.1,"30,610","34,930",43.69
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4111,"Interviewers, Except Eligibility and Loan",detailed,"12,610",1.9,"47,710",0.6,"36,520","39,480",47.71
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4121,"Library Assistants, Clerical",detailed,"6,340",6.2,"40,200",0.8,"30,050","31,160",40.2
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4131,Loan Interviewers and Clerks,detailed,"7,270",5.1,"56,400",1.4,"38,060","46,840",56.4
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-4141,New Accounts Clerks,detailed,"2,910",26,"49,510",2.4,"40,600","44,390",49.51
